created_at,id,text,hashtags,urls,source,in_reply_to_status_id,usr_id,usr_name,screen_name,usr_location,usr_url,protected,followers_count,friends_count,usr_created,geo_enabled,verified,usr_lang,geo,id,place_type,name,country_code,retweet_count,favorite_count,favorited,lang
Wed Apr 24 06:45:24 +0000 2019,1120941795142062080,"Playwright Mark Medoff passed away today. He essentially discovered me, I owe my career to him. Wrote Clara’s Heart… https://t.co/veWdx1vO01",[],['https://twitter.com/i/web/status/1120941795142062080'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,382,9700,False,en
Wed Apr 17 03:51:51 +0000 2019,1118361404636041216,"David’s book is available, starting TODAY! So psyched that so many people are buying it. What are you waiting for??… https://t.co/eq5t7e42l2",[],['https://twitter.com/i/web/status/1118361404636041216'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,46,731,False,en
Fri Apr 05 20:30:48 +0000 2019,1114264142440017921,Let’s do lunch! Join David and me at the literary luncheon #AuthorsInKind on April 17 in support of @godslovenyc –… https://t.co/6UebypDCNP,['AuthorsInKind'],['https://twitter.com/i/web/status/1114264142440017921'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,38,431,False,en
Thu Apr 04 02:20:08 +0000 2019,1113627281090646017,"Had so much fun on the first stop of my book tour tonight! Awesome to see so many kids reading, and asking great qu… https://t.co/WD1uFKyj3M",[],['https://twitter.com/i/web/status/1113627281090646017'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,63,1365,False,en
Sun Mar 31 17:56:19 +0000 2019,1112413325311332352,"Sorry I haven’t tweeted in a while. My son introduced me to this game called Hay Day, and now every time I open my… https://t.co/PQ59NMCchC",[],['https://twitter.com/i/web/status/1112413325311332352'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,1926,54483,False,en
Tue Mar 19 17:43:54 +0000 2019,1108061548302356480,"EXCLUSIVE! The next #TheMagicMisfits adventure won’t appear on shelves until September 10, but with a little bit of… https://t.co/tR09m668io",['TheMagicMisfits'],['https://twitter.com/i/web/status/1108061548302356480'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,100,955,False,en
Thu Mar 14 00:58:18 +0000 2019,1105996540722769920,Don’t miss an early look at @davidburtka’s gorgeous new cookbook tonight on @QVC! So proud of my talented husband..! https://t.co/TvgY1gFhWP,[],[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,192,1844,False,en
Wed Mar 13 22:01:17 +0000 2019,1105951995133939714,David and I partnered with @OpenTable to bring you our Tastemaker list featuring our favorite restaurants across th… https://t.co/JSYi6063L5,[],['https://twitter.com/i/web/status/1105951995133939714'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,130,1319,False,en
Tue Mar 12 20:10:34 +0000 2019,1105561743273668611,"I love my big brother, he’s all kinds of awesome. Check out the big surprise  renovation I gave him on the latest M… https://t.co/xN6kpdJ5Jz",[],['https://twitter.com/i/web/status/1105561743273668611'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,75,1480,False,en
Sun Feb 24 16:36:48 +0000 2019,1099709740702150657,"Wanna join me, @CobieSmulders and #HIMYM creators Carter Bays &amp; Craig Thomas for a legendary night out in NYC? To d… https://t.co/jnre5j0bVd",['HIMYM'],['https://twitter.com/i/web/status/1099709740702150657'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,90420314,Neil Patrick Harris,ActuallyNPH,Manhattanland,https://t.co/lP0pkJSosh,False,27076446,139,Mon Nov 16 15:54:48 +0000 2009,False,True,en,,,,,,283,3156,False,en
